"DIQ060U.Code.or.Value","DIQ060U.Value.Description","DIQ060U.Count","DIQ060U.Cumulative","DIQ060U.Skip.to.Item"
"1","Months",19,19,NA
"2","Years",124,143,NA
"7","Refused",0,143,NA
"9","Don't know",0,143,NA
".","Missing",10327,10470,NA
