"DR1IVB12.Code.or.Value","DR1IVB12.Value.Description","DR1IVB12.Count","DR1IVB12.Cumulative","DR1IVB12.Skip.to.Item"
"0 to 153.5","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
