"LBXSLDSI.Code.or.Value","LBXSLDSI.Value.Description","LBXSLDSI.Count","LBXSLDSI.Cumulative","LBXSLDSI.Skip.to.Item"
"38 to 1274","Range of Values",6551,6551,NA
".","Missing",428,6979,NA
