"ALQ101.Code.or.Value","ALQ101.Value.Description","ALQ101.Count","ALQ101.Cumulative","ALQ101.Skip.to.Item"
"1","Yes",3906,3906,"ALQ120Q"
"2","No",1423,5329,""
"7","Refused",0,5329,""
"9","Don't know",3,5332,""
".","Missing",727,6059,""
