"LBXSASSI.Code.or.Value","LBXSASSI.Value.Description","LBXSASSI.Count","LBXSASSI.Cumulative","LBXSASSI.Skip.to.Item"
"8 to 1034","Range of Values",6372,6372,NA
".","Missing",545,6917,NA
