"SSGAM.Code.or.Value","SSGAM.Value.Description","SSGAM.Count","SSGAM.Cumulative","SSGAM.Skip.to.Item"
"0.2 to 4.4","Range of Values",210,210,NA
".","Missing",1879,2089,NA
