"FSD032A.Code.or.Value","FSD032A.Value.Description","FSD032A.Count","FSD032A.Cumulative","FSD032A.Skip.to.Item"
"1","Often true",793,793,NA
"2","Sometimes true",1860,2653,NA
"3","Never true",7565,10218,NA
"7","Refused",7,10225,NA
"9","Don't know",0,10225,NA
".","Missing",123,10348,NA
