"URDMHBLC.Code.or.Value","URDMHBLC.Value.Description","URDMHBLC.Count","URDMHBLC.Cumulative","URDMHBLC.Skip.to.Item"
"0","At or above detection limit",2074,2074,NA
"1","Below lower detection limit",688,2762,NA
".","Missing",224,2986,NA
