"TYXP040.Code.or.Value","TYXP040.Value.Description","TYXP040.Count","TYXP040.Cumulative","TYXP040.Skip.to.Item"
"-26 to 176","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
