"DR1IP183.Code.or.Value","DR1IP183.Value.Description","DR1IP183.Count","DR1IP183.Cumulative","DR1IP183.Skip.to.Item"
"0 to 16.344","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
