"DR1TS180.Code.or.Value","DR1TS180.Value.Description","DR1TS180.Count","DR1TS180.Cumulative","DR1TS180.Skip.to.Item"
"0 to 42.57","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
