"BIDFAT.Code.or.Value","BIDFAT.Value.Description","BIDFAT.Count","BIDFAT.Cumulative","BIDFAT.Skip.to.Item"
"2 to 79.9","Range of Values",4083,4083,NA
".","Missing",1228,5311,NA
