"VIXKRD1.Code.or.Value","VIXKRD1.Value.Description","VIXKRD1.Count","VIXKRD1.Cumulative","VIXKRD1.Skip.to.Item"
"34.5 to 50","Range of Values",6429,6429,NA
"88","Could not obtain",98,6527,NA
".","Missing",453,6980,NA
