"DUQ320.Code.or.Value","DUQ320.Value.Description","DUQ320.Count","DUQ320.Cumulative","DUQ320.Skip.to.Item"
"1 to 30","Range of Values",16,16,NA
"77","Refused",0,16,NA
"99","Don't know",0,16,NA
".","Missing",5286,5302,NA
