"DXXPT31Y.Code.or.Value","DXXPT31Y.Value.Description","DXXPT31Y.Count","DXXPT31Y.Cumulative","DXXPT31Y.Skip.to.Item"
"99.5 to 287.9","Range of Values",3194,3194,NA
".","Missing",514,3708,NA
