"URXTRP1.Code.or.Value","URXTRP1.Value.Description","URXTRP1.Count","URXTRP1.Cumulative","URXTRP1.Skip.to.Item"
"0.56 to 7.89","Range of Values",2569,2569,NA
".","Missing",186,2755,NA
