"AUXRR163.Code.or.Value","AUXRR163.Value.Description","AUXRR163.Count","AUXRR163.Cumulative","AUXRR163.Skip.to.Item"
"-11 to 63","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
