"LBXPFOA.Code.or.Value","LBXPFOA.Value.Description","LBXPFOA.Count","LBXPFOA.Cumulative","LBXPFOA.Skip.to.Item"
"0.07 to 104","Range of Values",2100,2100,NA
".","Missing",194,2294,NA
