"BIXC008K.Code.or.Value","BIXC008K.Value.Description","BIXC008K.Count","BIXC008K.Cumulative","BIXC008K.Skip.to.Item"
"17.69 to 209.67","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
