"MCQ149.Code.or.Value","MCQ149.Value.Description","MCQ149.Count","MCQ149.Cumulative","MCQ149.Skip.to.Item"
"1","Yes",43,43,NA
"2","No",365,408,NA
"7","Refused",1,409,NA
"9","Don't know",1,410,NA
".","Missing",9699,10109,NA
