"SLQ210.Code.or.Value","SLQ210.Value.Description","SLQ210.Count","SLQ210.Cumulative","SLQ210.Skip.to.Item"
"1","Don't do this activity for other reasons",292,292,NA
"2","No difficulty",5087,5379,NA
"3","Yes, a little difficulty",592,5971,NA
"4","Yes, moderate difficulty",120,6091,NA
"5","Yes, extreme difficulty",42,6133,NA
"7","Refused",3,6136,NA
"9","Don't know",3,6139,NA
".","Missing",0,6139,NA
