"SPAACC.Code.or.Value","SPAACC.Value.Description","SPAACC.Count","SPAACC.Cumulative","SPAACC.Skip.to.Item"
"Y","Yes",34910,34910,NA
"N","No",2751,37661,NA
"< blank >","Missing",0,37661,NA
