"LBDIHGLC.Code.or.Value","LBDIHGLC.Value.Description","LBDIHGLC.Count","LBDIHGLC.Cumulative","LBDIHGLC.Skip.to.Item"
"0","At or above the detection limit",1782,1782,NA
"1","Below lower detection limit",6059,7841,NA
".","Missing",1115,8956,NA
