"MCQ160n.Code.or.Value","MCQ160n.Value.Description","MCQ160n.Count","MCQ160n.Cumulative","MCQ160n.Skip.to.Item"
"1","Yes",271,271,NA
"2","No",5440,5711,NA
"7","Refused",0,5711,NA
"9","Don't know",8,5719,NA
".","Missing",3856,9575,NA
