"DXXPEBMD.Code.or.Value","DXXPEBMD.Value.Description","DXXPEBMD.Count","DXXPEBMD.Cumulative","DXXPEBMD.Skip.to.Item"
"0.524 to 2.073","Range of Values",5294,5294,NA
".","Missing",739,6033,NA
