"LBDBCDSI.Code.or.Value","LBDBCDSI.Value.Description","LBDBCDSI.Count","LBDBCDSI.Cumulative","LBDBCDSI.Skip.to.Item"
"0.62 to 115.93","Range of Values",7513,7513,NA
".","Missing",853,8366,NA
