"AUXRR147.Code.or.Value","AUXRR147.Value.Description","AUXRR147.Count","AUXRR147.Cumulative","AUXRR147.Skip.to.Item"
"-39 to 151","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
