"URXMX4.Code.or.Value","URXMX4.Value.Description","URXMX4.Count","URXMX4.Cumulative","URXMX4.Skip.to.Item"
"0.04 to 338","Range of Values",2714,2714,NA
".","Missing",117,2831,NA
