"OPXSRCDR.Code.or.Value","OPXSRCDR.Value.Description","OPXSRCDR.Count","OPXSRCDR.Cumulative","OPXSRCDR.Skip.to.Item"
"0 to 1","Range of Values",407,407,NA
"2","Ungradable",7,414,NA
".","Missing",3449,3863,NA
