"URXBPF.Code.or.Value","URXBPF.Value.Description","URXBPF.Count","URXBPF.Cumulative","URXBPF.Skip.to.Item"
"0.14 to 298.7","Range of Values",2682,2682,NA
".","Missing",95,2777,NA
