"URXMX2.Code.or.Value","URXMX2.Value.Description","URXMX2.Count","URXMX2.Cumulative","URXMX2.Skip.to.Item"
"0.04 to 830","Range of Values",2714,2714,NA
".","Missing",117,2831,NA
