"URX4TO.Code.or.Value","URX4TO.Value.Description","URX4TO.Count","URX4TO.Cumulative","URX4TO.Skip.to.Item"
"0.14 to 14.9","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
