"DXXPT37Y.Code.or.Value","DXXPT37Y.Value.Description","DXXPT37Y.Count","DXXPT37Y.Cumulative","DXXPT37Y.Skip.to.Item"
"85.1 to 323.8","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
