"CIQG23.Code.or.Value","CIQG23.Value.Description","CIQG23.Count","CIQG23.Cumulative","CIQG23.Skip.to.Item"
"1","Past Month",31,31,NA
"2","Past 6 Months",31,62,NA
"3","Over 6 Months",23,85,NA
"7","Refused",0,85,NA
"9","Don't know",1,86,NA
".","Missing",692,778,NA
