"AUDTYR34.Code.or.Value","AUDTYR34.Value.Description","AUDTYR34.Count","AUDTYR34.Cumulative","AUDTYR34.Skip.to.Item"
"0 to 1.72","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
