"DSQTCALC.Code.or.Value","DSQTCALC.Value.Description","DSQTCALC.Count","DSQTCALC.Cumulative","DSQTCALC.Skip.to.Item"
"0.5 to 4220","Range of Values",2946,2946,NA
".","Missing",7591,10537,NA
