"LBXPFHS.Code.or.Value","LBXPFHS.Value.Description","LBXPFHS.Count","LBXPFHS.Cumulative","LBXPFHS.Skip.to.Item"
"0.07 to 33.9","Range of Values",2168,2168,NA
".","Missing",171,2339,NA
