"URDCYMLC.Code.or.Value","URDCYMLC.Value.Description","URDCYMLC.Count","URDCYMLC.Cumulative","URDCYMLC.Skip.to.Item"
"0","At or above the detection limit",2308,2308,NA
"1","Below lower detection limit",268,2576,NA
".","Missing",179,2755,NA
