"LBDTNALC.Code.or.Value","LBDTNALC.Value.Description","LBDTNALC.Count","LBDTNALC.Cumulative","LBDTNALC.Skip.to.Item"
"0","At or above the detection limit",298,298,NA
"1","Below lower detection limit",1,299,NA
".","Missing",2,301,NA
