"DXXCRURT.Code.or.Value","DXXCRURT.Value.Description","DXXCRURT.Count","DXXCRURT.Cumulative","DXXCRURT.Skip.to.Item"
"0.7 to 1.2","Range of Values",3285,3285,NA
".","Missing",423,3708,NA
