"SIAPROXY.Code.or.Value","SIAPROXY.Value.Description","SIAPROXY.Count","SIAPROXY.Cumulative","SIAPROXY.Skip.to.Item"
"1","Yes",3660,3660,NA
"2","No",6488,10148,NA
".","Missing",1,10149,NA
