"PFQ061S.Code.or.Value","PFQ061S.Value.Description","PFQ061S.Count","PFQ061S.Cumulative","PFQ061S.Skip.to.Item"
"1","No difficulty",1966,1966,NA
"2","Some difficulty",130,2096,NA
"3","Much difficulty",37,2133,NA
"4","Unable to do",11,2144,NA
"5","Do not do this activity",9,2153,NA
"7","Refused",0,2153,NA
"9","Don't know",0,2153,NA
".","Missing",7669,9822,NA
