"RHQ576Q.Code.or.Value","RHQ576Q.Value.Description","RHQ576Q.Count","RHQ576Q.Cumulative","RHQ576Q.Skip.to.Item"
"1 to 25","Range of Values",52,52,NA
"77","Refused",0,52,NA
"99","Don't know",2,54,NA
".","Missing",3244,3298,NA
