"LBDPFHSL.Code.or.Value","LBDPFHSL.Value.Description","LBDPFHSL.Count","LBDPFHSL.Cumulative","LBDPFHSL.Skip.to.Item"
"0","At or above the detection limit",2046,2046,NA
"1","Below lower detection limit",48,2094,NA
".","Missing",274,2368,NA
