"HUQ071.Code.or.Value","HUQ071.Value.Description","HUQ071.Count","HUQ071.Cumulative","HUQ071.Skip.to.Item"
"1","Yes",999,999,""
"2","No",9118,10117,"HUQ081"
"7","Refused",0,10117,"HUQ081"
"9","Don't know",5,10122,"HUQ081"
".","Missing",0,10122,""
