"OSQ090f.Code.or.Value","OSQ090f.Value.Description","OSQ090f.Count","OSQ090f.Cumulative","OSQ090f.Skip.to.Item"
"1","Yes",5,5,"OSQ120f"
"2","No",0,5,""
"7","Refused",0,5,"OSQ120f"
"9","Don't know",0,5,"OSQ120f"
".","Missing",3810,3815,""
