"WHQ090.Code.or.Value","WHQ090.Value.Description","WHQ090.Count","WHQ090.Cumulative","WHQ090.Skip.to.Item"
"1","Yes",663,663,""
"2","No",3542,4205,"WHQ210"
"7","Refused",1,4206,"WHQ210"
"9","Don't know",7,4213,"WHQ210"
".","Missing",2676,6889,""
