"LBX5AL.Code.or.Value","LBX5AL.Value.Description","LBX5AL.Count","LBX5AL.Cumulative","LBX5AL.Skip.to.Item"
"0.223 to 6.61","Range of Values",1768,1768,NA
".","Missing",556,2324,NA
