"FSD151.Code.or.Value","FSD151.Value.Description","FSD151.Count","FSD151.Cumulative","FSD151.Skip.to.Item"
"1","Yes",841,841,NA
"2","No",9375,10216,NA
"7","Refused",7,10223,NA
"9","Don't know",2,10225,NA
".","Missing",123,10348,NA
