"WTSHM03.Code.or.Value","WTSHM03.Value.Description","WTSHM03.Count","WTSHM03.Cumulative","WTSHM03.Skip.to.Item"
"0.0000000 to 743883.9676100","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
