"AUXRR221.Code.or.Value","AUXRR221.Value.Description","AUXRR221.Count","AUXRR221.Cumulative","AUXRR221.Skip.to.Item"
"-93 to 46","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
