"DBQ935.Code.or.Value","DBQ935.Value.Description","DBQ935.Count","DBQ935.Cumulative","DBQ935.Skip.to.Item"
"1","Yes",3513,3513,NA
"2","No",3375,6888,NA
"7","Refused",0,6888,NA
"9","Don't know",1,6889,NA
".","Missing",3648,10537,NA
