"URDUA5LC.Code.or.Value","URDUA5LC.Value.Description","URDUA5LC.Count","URDUA5LC.Cumulative","URDUA5LC.Skip.to.Item"
"0","At or above the detection limit",97,97,NA
"1","Below lower detection limit",2997,3094,NA
".","Missing",185,3279,NA
