"DSQIPHOS.Code.or.Value","DSQIPHOS.Value.Description","DSQIPHOS.Count","DSQIPHOS.Cumulative","DSQIPHOS.Skip.to.Item"
"0.08 to 665","Range of Values",1055,1055,NA
".","Missing",7214,8269,NA
