"AUXRR232.Code.or.Value","AUXRR232.Value.Description","AUXRR232.Count","AUXRR232.Cumulative","AUXRR232.Skip.to.Item"
"-32 to 92","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
