"CBQ506.Code.or.Value","CBQ506.Value.Description","CBQ506.Count","CBQ506.Cumulative","CBQ506.Skip.to.Item"
"1","Yes",1574,1574,""
"2","No",91,1665,"CBQ551"
"7","Refused",0,1665,""
"9","Don't know",0,1665,""
".","Missing",380,2045,""
