"CBQ610.Code.or.Value","CBQ610.Value.Description","CBQ610.Count","CBQ610.Cumulative","CBQ610.Skip.to.Item"
"1","Yes",1020,1020,NA
"2","No",2402,3422,NA
"7","Refused",0,3422,NA
"9","Don't know",9,3431,NA
".","Missing",2591,6022,NA
