"LBXSNASI.Code.or.Value","LBXSNASI.Value.Description","LBXSNASI.Count","LBXSNASI.Cumulative","LBXSNASI.Skip.to.Item"
"126 to 153","Range of Values",6491,6491,NA
".","Missing",499,6990,NA
