"DR2DBIH.Code.or.Value","DR2DBIH.Value.Description","DR2DBIH.Count","DR2DBIH.Cumulative","DR2DBIH.Skip.to.Item"
"-9 to 165","Range of Values",5508,5508,NA
".","Missing",18,5526,NA
