"SSBCPP.Code.or.Value","SSBCPP.Value.Description","SSBCPP.Count","SSBCPP.Cumulative","SSBCPP.Skip.to.Item"
"0.07 to 14.6","Range of Values",2316,2316,NA
".","Missing",1,2317,NA
