"MCQ340.Code.or.Value","MCQ340.Value.Description","MCQ340.Count","MCQ340.Cumulative","MCQ340.Skip.to.Item"
"0 to 20","Range of Values",799,799,NA
"777","Refused",0,799,NA
"999","Don't know",32,831,NA
".","Missing",8991,9822,NA
