"DXXPT6X.Code.or.Value","DXXPT6X.Value.Description","DXXPT6X.Count","DXXPT6X.Cumulative","DXXPT6X.Skip.to.Item"
"396.7 to 1043","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
