"URXMMI.Code.or.Value","URXMMI.Value.Description","URXMMI.Count","URXMMI.Cumulative","URXMMI.Skip.to.Item"
"0.26 to 0.76","Range of Values",2591,2591,NA
".","Missing",165,2756,NA
