"AUDTYL66.Code.or.Value","AUDTYL66.Value.Description","AUDTYL66.Count","AUDTYL66.Cumulative","AUDTYL66.Skip.to.Item"
"0 to 2.13","Range of Values",1893,1893,NA
".","Missing",153,2046,NA
